# s, x_mid, y_mid, psi_mid, kappa_mid x_n, y_n, x_t, y_t,              w_left, w_right, x_left, y_left, psi_left, x_right, y_right, psi_right
0.000000000000000000e+00,-2.905399999999999996e-02,-4.989999999999999861e-04,-1.550570638112254374e+00,7.267127581210538772e-06,-9.997955353431514647e-01,-2.022430972850793041e-02,2.022430972850793041e-02,-9.997955353431514647e-01,7.679000000000000270e+00,7.621000000000000441e+00,7.648375915900060384e+00,1.548034744052124156e-01,-1.550570636817766967e+00,-7.648495774850157858e+00,-1.546284644409589570e-01,-1.550570639396820827e+00
1.000000000000000000e+00,-8.822729517856108331e-03,-1.000459880853259653e+00,-1.550563432180523060e+00,7.142350935153134245e-06,-9.997953897472819929e-01,-2.023151418586859734e-02,2.023151418586859734e-02,-9.997953897472819929e-01,7.679000000000000270e+00,7.621000000000000441e+00,7.668606068351522254e+00,-8.451020834199747256e-01,-1.550563430940533172e+00,-7.628263394781892970e+00,-1.154644250463764177e+00,-1.550563433411014103e+00
2.000000000000000000e+00,1.141568984257308739e-02,-2.000420895038515390e+00,-1.550556351043808956e+00,7.017574914000618973e-06,-9.997952466180621833e-01,-2.023859387272239352e-02,2.023859387272239352e-02,-9.997952466180621833e-01,7.679000000000000270e+00,7.621000000000000441e+00,7.688843388622672137e+00,-1.845008732689880082e+00,-1.550556349858563721e+00,-7.608023884633679401e+00,-2.154659218942532650e+00,-1.550556352219973677e+00
3.000000000000000000e+00,3.166113297453094361e-02,-3.000382029238374493e+00,-1.550549394701674855e+00,6.892799500072744652e-06,-9.997951059581142719e-01,-2.024554878955947199e-02,2.024554878955947199e-02,-9.997951059581142719e-01,7.679000000000000270e+00,7.621000000000000441e+00,7.709087751626890750e+00,-2.844916460083347420e+00,-1.550549393571303503e+00,-7.587777369532259009e+00,-3.154673356563607367e+00,-1.550549395823395571e+00
4.000000000000000000e+00,5.191347477126081328e-02,-4.000343270135443774e+00,-1.550542563153695985e+00,6.768024675684493335e-06,-9.997949677700143090e-01,-2.025237893685727375e-02,2.025237893685727375e-02,-9.997949677700143090e-01,7.679000000000000270e+00,7.621000000000000441e+00,7.729339032277200872e+00,-3.844825252279316707e+00,-1.550542562078325748e+00,-7.567523974604019266e+00,-4.154686650013233340e+00,-1.550542564220812602e+00
5.000000000000000000e+00,7.217259012600604762e-02,-5.000304604412334264e+00,-1.550535856399458901e+00,6.643250423149424062e-06,-9.997948320562926039e-01,-2.025908431508054164e-02,2.025908431508054164e-02,-9.997948320562926039e-01,7.679000000000000270e+00,7.621000000000000441e+00,7.749597105486277115e+00,-4.844735095956830939e+00,-1.550535855379318706e+00,-7.547263824975000368e+00,-5.154699085977562767e+00,-1.550535857411866836e+00
6.000000000000000000e+00,9.243835393201001172e-02,-6.000266018751650776e+00,-1.550529274438561700e+00,6.518476724760762842e-06,-9.997946988194333917e-01,-2.026566492468132377e-02,2.026566492468132377e-02,-9.997946988194333917e-01,7.679000000000000270e+00,7.621000000000000441e+00,7.769861846166439712e+00,-5.844645977795022596e+00,-1.550529273473440606e+00,-7.526997045770891681e+00,-6.154710651142647038e+00,-1.550529275396010043e+00
7.000000000000000000e+00,1.127106410825160776e-01,-7.000227499836001677e+00,-1.550522817270615139e+00,6.393703562828949941e-06,-9.997945680618746112e-01,-2.027212076609894234e-02,2.027212076609894234e-02,-9.997945680618746112e-01,7.679000000000000270e+00,7.621000000000000441e+00,7.790133129229650955e+00,-6.844557884473127629e+00,-1.550522816361962652e+00,-7.506723762117030851e+00,-7.154721332194442063e+00,-1.550522818173393214e+00
8.000000000000000000e+00,1.329893264707675549e-01,-8.000189034347997108e+00,-1.550516484895240854e+00,6.268930919650754507e-06,-9.997944397860091259e-01,-2.027845183975999707e-02,2.027845183975999707e-02,-9.997944397860091259e-01,7.679000000000000270e+00,7.621000000000000441e+00,7.810410829587532078e+00,-7.844470802670479692e+00,-1.550516484038230836e+00,-7.486444099138408248e+00,-8.154731115818808718e+00,-1.550516485741678441e+00
9.000000000000000000e+00,1.532742849900077808e-01,-9.000150608970240995e+00,-1.550510277312072915e+00,6.144158777518594485e-06,-9.997943139941823931e-01,-2.028465814607838952e-02,2.028465814607838952e-02,-9.997943139941823931e-01,7.679000000000000270e+00,7.621000000000000441e+00,7.830694822151334833e+00,-8.844384719066505696e+00,-1.550510276525416398e+00,-7.466158181959656304e+00,-9.154739988701503961e+00,-1.550510278107706474e+00
1.000000000000000000e+01,1.735653915334816610e-01,-1.000011221038534792e+01,-1.550504194520121892e+00,6.019577499639625648e-06,-9.997941906886826935e-01,-2.029073968609031858e-02,2.029073968609031858e-02,-9.997941906886826935e-01,7.679000000000000270e+00,7.621000000000000441e+00,7.850984981831876652e+00,-9.844299620335860368e+00,-1.550504193734886904e+00,-7.445866135704969579e+00,-1.015474793753304183e+01,-1.550504195244662320e+00
1.100000000000000000e+01,1.938625259587377081e-01,-1.100007383068408906e+01,-1.550498222059314868e+00,5.923342502470878232e-06,-9.997940695851336157e-01,-2.029671091693553003e-02,2.029671091693553003e-02,-9.997940695851336157e-01,7.679000000000000270e+00,7.621000000000000441e+00,7.871281186302979016e+00,-1.084421538755294101e+01,-1.550498221280594890e+00,-7.425568078349565226e+00,-1.115475506458205501e+01,-1.550498222848694985e+00
